language	word	english_meaning	severity
Hindi	pagal	Bullying slang/insult	Low
Hindi	bewakoof	Bullying slang/insult	Medium
Hindi	gadha	Bullying slang/insult	High
Hindi	nalayak	Bullying slang/insult	Low
Hindi	kamina	Bullying slang/insult	Medium
Hindi	ullu	Bullying slang/insult	High
Hindi	chomu	Bullying slang/insult	Low
Hindi	fattu	Bullying slang/insult	Medium
Hindi	bakwas	Bullying slang/insult	High
Hindi	kutti	Bullying slang/insult	Low
Hindi	pagal	Bullying slang/insult	Medium
Hindi	bewakoof	Bullying slang/insult	High
Hindi	gadha	Bullying slang/insult	Low
Hindi	nalayak	Bullying slang/insult	Medium
Hindi	kamina	Bullying slang/insult	High
Hindi	ullu	Bullying slang/insult	Low
Hindi	chomu	Bullying slang/insult	Medium
Hindi	fattu	Bullying slang/insult	High
Hindi	bakwas	Bullying slang/insult	Low
Hindi	kutti	Bullying slang/insult	Medium
Hindi	pagal	Bullying slang/insult	High
Hindi	bewakoof	Bullying slang/insult	Low
Hindi	gadha	Bullying slang/insult	Medium
Hindi	nalayak	Bullying slang/insult	High
Hindi	kamina	Bullying slang/insult	Low
Hindi	ullu	Bullying slang/insult	Medium
Hindi	chomu	Bullying slang/insult	High
Hindi	fattu	Bullying slang/insult	Low
Hindi	bakwas	Bullying slang/insult	Medium
Hindi	kutti	Bullying slang/insult	High
Hindi	pagal	Bullying slang/insult	Low
Hindi	bewakoof	Bullying slang/insult	Medium
Hindi	gadha	Bullying slang/insult	High
Hindi	nalayak	Bullying slang/insult	Low
Hindi	kamina	Bullying slang/insult	Medium
Hindi	ullu	Bullying slang/insult	High
Hindi	chomu	Bullying slang/insult	Low
Hindi	fattu	Bullying slang/insult	Medium
Hindi	bakwas	Bullying slang/insult	High
Hindi	kutti	Bullying slang/insult	Low
Hindi	pagal	Bullying slang/insult	Medium
Hindi	bewakoof	Bullying slang/insult	High
Hindi	gadha	Bullying slang/insult	Low
Hindi	nalayak	Bullying slang/insult	Medium
Hindi	kamina	Bullying slang/insult	High
Hindi	ullu	Bullying slang/insult	Low
Hindi	chomu	Bullying slang/insult	Medium
Hindi	fattu	Bullying slang/insult	High
Hindi	bakwas	Bullying slang/insult	Low
Hindi	kutti	Bullying slang/insult	Medium
English	noob	Bullying slang/insult	Low
English	loser	Bullying slang/insult	Medium
English	idiot	Bullying slang/insult	High
English	stupid	Bullying slang/insult	Low
English	jerk	Bullying slang/insult	Medium
English	trash	Bullying slang/insult	High
English	creep	Bullying slang/insult	Low
English	psycho	Bullying slang/insult	Medium
English	bitch	Bullying slang/insult	High
English	asshole	Bullying slang/insult	Low
English	noob	Bullying slang/insult	Medium
English	loser	Bullying slang/insult	High
English	idiot	Bullying slang/insult	Low
English	stupid	Bullying slang/insult	Medium
English	jerk	Bullying slang/insult	High
English	trash	Bullying slang/insult	Low
English	creep	Bullying slang/insult	Medium
English	psycho	Bullying slang/insult	High
English	bitch	Bullying slang/insult	Low
English	asshole	Bullying slang/insult	Medium
English	noob	Bullying slang/insult	High
English	loser	Bullying slang/insult	Low
English	idiot	Bullying slang/insult	Medium
English	stupid	Bullying slang/insult	High
English	jerk	Bullying slang/insult	Low
English	trash	Bullying slang/insult	Medium
English	creep	Bullying slang/insult	High
English	psycho	Bullying slang/insult	Low
English	bitch	Bullying slang/insult	Medium
English	asshole	Bullying slang/insult	High
English	noob	Bullying slang/insult	Low
English	loser	Bullying slang/insult	Medium
English	idiot	Bullying slang/insult	High
English	stupid	Bullying slang/insult	Low
English	jerk	Bullying slang/insult	Medium
English	trash	Bullying slang/insult	High
English	creep	Bullying slang/insult	Low
English	psycho	Bullying slang/insult	Medium
English	bitch	Bullying slang/insult	High
English	asshole	Bullying slang/insult	Low
English	noob	Bullying slang/insult	Medium
English	loser	Bullying slang/insult	High
English	idiot	Bullying slang/insult	Low
English	stupid	Bullying slang/insult	Medium
English	jerk	Bullying slang/insult	High
English	trash	Bullying slang/insult	Low
English	creep	Bullying slang/insult	Medium
English	psycho	Bullying slang/insult	High
English	bitch	Bullying slang/insult	Low
English	asshole	Bullying slang/insult	Medium
Marathi	veda	Bullying slang/insult	Low
Marathi	murkh	Bullying slang/insult	Medium
Marathi	gadhav	Bullying slang/insult	High
Marathi	bhand	Bullying slang/insult	Low
Marathi	harami	Bullying slang/insult	Medium
Marathi	bokya	Bullying slang/insult	High
Marathi	bhadya	Bullying slang/insult	Low
Marathi	faltu	Bullying slang/insult	Medium
Marathi	mand	Bullying slang/insult	High
Marathi	vedya	Bullying slang/insult	Low
Marathi	veda	Bullying slang/insult	Medium
Marathi	murkh	Bullying slang/insult	High
Marathi	gadhav	Bullying slang/insult	Low
Marathi	bhand	Bullying slang/insult	Medium
Marathi	harami	Bullying slang/insult	High
Marathi	bokya	Bullying slang/insult	Low
Marathi	bhadya	Bullying slang/insult	Medium
Marathi	faltu	Bullying slang/insult	High
Marathi	mand	Bullying slang/insult	Low
Marathi	vedya	Bullying slang/insult	Medium
